time/total_timesteps,rollout/exploration rate,train/n_updates,train/learning_rate,rollout/ep_len_mean,time/episodes,time/fps,train/loss,rollout/ep_rew_mean,time/time_elapsed
2301486,0.05,575246,5e-05,108.83,134000,866,49.80006790161133,42.08471272,2656
2415185,0.05,603671,5e-05,110.6,135000,861,74.3412857055664,43.21537318000001,2802
2534335,0.05,633458,5e-05,126.62,136000,857,74.80026245117188,47.573018330000004,2955
2648107,0.05,661901,5e-05,126.76,137000,853,89.51335906982422,47.94237722,3101
2767893,0.05,691848,5e-05,127.9,138000,850,60.14724349975586,52.77999997,3254
2890125,0.05,722406,5e-05,128.03,139000,847,58.51247024536133,53.19904081000001,3410
3017635,0.05,754283,5e-05,134.49,140000,844,101.82339477539062,57.52393294,3573
3141329,0.05,785207,5e-05,121.83,141000,841,90.04440307617188,49.618222159999995,3732
3265045,0.05,816136,5e-05,134.55,142000,839,76.5751724243164,54.158847329999986,3890
3388075,0.05,846893,5e-05,123.28,143000,836,124.72057342529297,50.99686338999999,4048
3512111,0.05,877902,5e-05,111.56,144000,834,87.388671875,47.04527528,4206
3640513,0.05,910003,5e-05,122.08,145000,832,61.93695831298828,53.366443239999995,4370
3768597,0.05,942024,5e-05,128.51,146000,831,45.86433029174805,53.04383981,4534
3897858,0.05,974339,5e-05,126.54,147000,829,44.95881271362305,55.89997123999999,4699
4023037,0.05,1005634,5e-05,112.78,148000,827,48.246829986572266,46.71599668000001,4860
4157377,0.05,1039219,5e-05,130.55,149000,826,81.59626007080078,57.96478480999999,5032
4291154,0.05,1072663,5e-05,155.51,150000,824,56.531776428222656,66.89437443000001,5203
4422269,0.05,1105442,5e-05,138.62,151000,823,56.76500701904297,59.48533178000002,5371
4550632,0.05,1137532,5e-05,121.35,152000,821,21.489545822143555,54.08965759000001,5536
4678255,0.05,1169438,5e-05,126.29,153000,820,28.9180908203125,55.79640854,5699
4808069,0.05,1201892,5e-05,124.14,154000,819,23.893091201782227,57.00211872000002,5866
4939604,0.05,1234775,5e-05,134.96,155000,818,36.16209411621094,60.35866696,6034
5067102,0.05,1266650,5e-05,117.46,156000,817,54.34468460083008,53.89917329,6197
